BMI,PhysicalActivity5OrMoreDays,WhatIsYourSex
18.186374419459387,2.0,2.0
20.317119054017738,4.0,2.0
25.918005947408865,4.0,2.0
18.186374419459387,1.0,2.0
25.058974588670903,4.0,2.0
18.207612456747405,8.0,2.0
25.23384353741497,6.0,2.0
24.337204898371418,2.0,2.0
18.958367346938775,8.0,2.0
23.79938271604938,8.0,2.0
23.191516222699153,1.0,2.0
22.907461179144047,1.0,2.0
23.191516222699153,6.0,2.0
21.660899653979243,8.0,2.0
23.25968482375366,6.0,2.0
31.5,1.0,2.0
27.01851851851852,8.0,2.0
21.98891966759003,1.0,2.0
25.76169418637673,6.0,1.0
26.21714285714286,8.0,1.0
23.558691135734072,2.0,1.0
18.608152358011218,8.0,1.0
18.070204081632653,4.0,1.0
24.881632653061224,1.0,1.0
27.683518005540165,8.0,1.0
19.99265381083563,8.0,1.0
17.718749999999996,2.0,1.0
19.996734693877553,7.0,1.0
26.682624041543264,1.0,1.0
20.374999999999996,8.0,1.0
20.99815574541759,1.0,1.0
18.494031221303953,1.0,1.0
30.210197710718,4.0,1.0
15.827364554637285,3.0,1.0
23.757790858725762,6.0,1.0
27.9727372307193,2.0,1.0
26.313440707533772,1.0,1.0
25.622857142857143,5.0,1.0
20.770031217481787,6.0,1.0
20.374999999999996,2.0,1.0
18.899128897866433,1.0,2.0
35.79093548794344,8.0,2.0
29.251700680272116,1.0,2.0
20.4862810041778,8.0,2.0
21.216879949213137,6.0,2.0
19.639284541192627,5.0,2.0
21.697845804988667,5.0,2.0
24.520087655222788,7.0,2.0
25.439421882645192,8.0,2.0
22.191011235955056,8.0,2.0
18.833910034602077,8.0,1.0
26.41165755919854,8.0,2.0
31.831347606676815,5.0,2.0
22.907461179144047,5.0,2.0
38.30241051862673,7.0,2.0
21.031141868512112,5.0,2.0
25.875141723356013,8.0,2.0
23.13619157561277,8.0,2.0
20.317119054017738,4.0,2.0
22.891098569679592,3.0,2.0
22.494031221303953,1.0,2.0
17.577854671280278,8.0,2.0
21.340660167864808,1.0,1.0
25.515624999999993,1.0,1.0
17.35756802721089,1.0,1.0
17.4949494949495,6.0,1.0
23.92389143575804,6.0,1.0
29.6643598615917,1.0,1.0
28.093425605536336,1.0,1.0
23.90003387406376,1.0,1.0
31.414473684210524,8.0,1.0
20.14377658173059,1.0,1.0
28.524483751876343,1.0,1.0
20.24422897480628,1.0,1.0
22.757785467128027,6.0,1.0
20.24422897480628,1.0,1.0
28.510670330083933,3.0,1.0
20.719723183391007,1.0,1.0
17.51700680272109,1.0,1.0
23.625283446712025,4.0,1.0
26.500060854395713,1.0,1.0
24.7484410430839,4.0,1.0
37.90131356091686,1.0,1.0
19.304498269896197,3.0,1.0
29.365049493770936,1.0,1.0
31.65472910927457,7.0,1.0
20.66115702479339,8.0,1.0
21.597991689750693,1.0,1.0
24.328719723183394,2.0,1.0
24.545608968914564,1.0,2.0
24.911422902494337,1.0,2.0
19.158861340679522,4.0,2.0
27.622837370242216,1.0,2.0
27.48943985307622,8.0,2.0
33.92520775623269,1.0,2.0
29.820306793279766,5.0,2.0
27.622837370242216,1.0,2.0
25.978086194302406,1.0,2.0
22.80816326530612,8.0,2.0
18.611917687160712,1.0,2.0
21.474561292766065,1.0,2.0
22.179705215419506,1.0,2.0
21.138888888888886,1.0,2.0
23.79938271604938,2.0,2.0
19.996734693877553,1.0,2.0
25.71570294784581,3.0,2.0
23.25551020408163,8.0,2.0
25.8961937716263,3.0,2.0
28.13888888888889,8.0,2.0
35.21753411567977,6.0,2.0
23.302862811791385,7.0,2.0
23.94667379464733,8.0,2.0
20.40484429065744,1.0,2.0
22.179705215419506,4.0,2.0
20.29061224489796,8.0,2.0
31.820436507936513,5.0,2.0
22.19503933155181,1.0,2.0
21.190311418685123,4.0,2.0
33.17901234567901,5.0,2.0
20.580246913580247,8.0,2.0
23.240740740740737,6.0,2.0
24.157943067033976,1.0,2.0
19.158861340679522,1.0,2.0
26.241051862673483,1.0,1.0
22.537543753999024,4.0,1.0
25.491276400367315,6.0,1.0
20.82644628099174,5.0,1.0
29.127229488703925,8.0,1.0
19.492187499999996,1.0,1.0
24.7484410430839,3.0,2.0
22.733803334558456,8.0,2.0
20.08928571428572,7.0,2.0
22.907461179144047,6.0,2.0
21.520932874469576,3.0,2.0
20.4862810041778,1.0,2.0
24.242538296510972,3.0,2.0
24.337204898371418,6.0,2.0
20.374999999999996,1.0,1.0
20.82644628099174,1.0,1.0
22.22116527942925,1.0,1.0
23.049418495238815,2.0,1.0
33.29067710489669,1.0,1.0
21.261718749999996,7.0,1.0
19.82736455463728,4.0,1.0
24.157943067033976,1.0,1.0
24.991735537190088,1.0,1.0
27.467128027681664,1.0,1.0
19.492187499999996,8.0,2.0
20.29938271604938,1.0,2.0
21.510030486657385,6.0,2.0
23.549387755102043,1.0,2.0
14.910034602076127,1.0,1.0
22.576177285318558,1.0,1.0
16.587755102040816,1.0,1.0
21.340660167864808,1.0,1.0
27.317550528811775,8.0,1.0
18.328741965105603,5.0,1.0
23.302862811791385,7.0,1.0
17.718749999999996,1.0,1.0
23.921874999999996,2.0,1.0
20.374999999999996,5.0,1.0
17.67998866213152,1.0,1.0
21.994490358126725,4.0,1.0
19.99265381083563,1.0,1.0
20.24422897480628,1.0,1.0
30.955102040816325,3.0,1.0
32.47450572320499,4.0,1.0
22.87628439158418,4.0,1.0
23.921874999999996,8.0,1.0
20.99815574541759,1.0,1.0
23.002961580591506,1.0,1.0
20.60935534910138,1.0,1.0
23.543252595155714,8.0,2.0
24.780864197530864,3.0,2.0
26.41165755919854,8.0,2.0
22.971367134449977,1.0,2.0
20.29938271604938,1.0,2.0
22.19503933155181,5.0,2.0
25.382271468144044,6.0,2.0
20.440816326530612,1.0,2.0
21.187350082060345,8.0,2.0
21.20672023374726,3.0,2.0
19.25551020408163,5.0,2.0
